Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,0.04133471147834356,0.0006294360388584681,0.3071254866139199
1.079775162327709,0.04668812276230608,-0.004295689979874898,0.3270392685051533
1.165914401179831,0.04870640528223723,-0.007971667409733936,0.3473336759151309
1.258925411794166,0.05168997027958613,-0.008335624281645724,0.3716727363474206
1.359356390878524,0.05631092416972766,-0.01527775933632151,0.4076896722617409
1.467799267622071,0.06380243001129937,-0.0223674674361168,0.4494235874466526
1.584893192461114,0.06720783164910347,-0.0259046711836924,0.4859760148927883
1.711328304161781,0.07654481375284963,-0.03447314840291528,0.5197596568884109
1.847849797422291,0.08576755714864366,-0.04417473792360064,0.5623532177483952
1.995262314968883,0.095847925088554,-0.05483612380357242,0.6193254733993712
2.154434690031882,0.1089735971529818,-0.06801441183215508,0.6656599671761114
2.326305067153629,0.1241066179373722,-0.08243942596935637,0.7239805950285501
2.511886431509577,0.1428585594761614,-0.09986402115841911,0.7832317299999403
2.712272579332029,0.1632498501838715,-0.121783684766032,0.8471641565180335
2.928644564625237,0.186413551383604,-0.1465494546652617,0.9281344957840361
3.16227766016838,0.2173729684332805,-0.1772655422092614,0.9978453170657815
3.414548873833601,0.2505748208990858,-0.2104443452298079,1.109597225865684
3.686945064519574,0.2923053388854684,-0.2518318714743568,1.209884607956653
3.98107170553497,0.3395561640768081,-0.2985201657560618,1.333744802723203
4.298662347082281,0.3992406200914644,-0.3587481632448015,1.471511833293107
4.641588833612772,0.4682109611244294,-0.4270073798719042,1.627662692015958
5.011872336272726,0.5497342182322191,-0.509560483483509,1.808027592082645
5.411695265464638,0.6504786292778078,-0.6111901811113286,2.029885771396835
5.843414133735175,0.7714007584891619,-0.730031492846287,2.290404979707773
6.309573444801929,0.9205672448880549,-0.880705710719455,2.625310217416484
6.812920690579609,1.096647318020852,-1.057505024585109,3.041762055127208
7.356422544596422,1.304197009012825,-1.264326570480541,3.476045898302189
7.943282347242806,1.561169373995583,-1.522927275729195,4.037003822877224
8.576958985908945,1.881862175627317,-1.844492834227638,4.769393437771765
9.261187281287937,2.291901265987798,-2.253109172393458,5.794292371838907
10,2.807174857125442,-2.772503996261169,7.195062594050597
10.79775162327709,3.453515135625222,-3.420035703975302,9.139766140389199
11.65914401179832,4.246543950041588,-4.21868879485027,11.82289388825512
12.58925411794166,5.186037227468654,-5.164825754563007,15.41840087639085
13.59356390878525,6.213802687486636,-6.199791177840383,19.9901258016194
14.67799267622071,7.211756151384864,-7.212974999852263,24.99204501590793
15.84893192461114,8.093912065688695,-8.111042477437129,29.87987935742926
17.11328304161781,8.838799626551783,-8.876103064376787,34.70243596297877
18.47849797422293,9.465944666191843,-9.527785359697358,39.95713226772131
19.95262314968879,9.979774001061497,-10.08828223542407,46.40079633029714
21.54434690031882,10.36974355303088,-10.5537741702166,55.00719069488242
23.26305067153626,10.59632406290185,-10.87564874935506,67.17472137711886
25.11886431509582,10.44312181189956,-10.78074032431755,87.92395730842945
27.12272579332027,-2.644206439674488,2.668852116036578,155.0845608714181
29.28644564625237,-4.03212737166483,4.059346899258082,157.9515671659306
31.62277660168379,-5.80735428692442,5.8399305559809,160.250603799411
34.14548873833601,-7.482232124584469,7.517499291128357,162.052300563758
36.86945064519577,-9.071158665544578,9.106917084696866,163.5267817828695
39.81071705534978,-10.59504876068992,10.63345028589233,164.6697685459481
